,company,date,time,headline,30d,7d,prc_30d,prc_7d,std_30d,std_7d,open_price,high,low,close,volume,prc_volume,neg,neu,pos,compound
0,AAPL,2021-04-23,04:35PM,"Stock Market Rally Retreats, Bitcoin Dives Amid Biden Capital Gains Tax Plan; Netflix, Snap, United Airlines In Focus",10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.647,0.353,0.802
1,AAPL,2021-04-23,04:32PM,UPDATE 1-Apple to help workers get COVID-19 shots at its offices,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.624,0.376,0.6633
2,AAPL,2021-04-23,04:23PM,Snap can still dream the dream as earnings show big Snapchat growth still possible,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.625,0.375,0.6808
3,AAPL,2021-04-23,04:21PM,"Apple Stock Buybacks, Dividend Hike Could Be Sugar On Top For March Quarter",10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.87,0.13,0.2023
4,AAPL,2021-04-23,04:18PM,4 Dow Jones Stocks To Buy And Watch In April 2021: Apple Jumps 2%,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.588,0.412,0.7184
5,AAPL,2021-04-23,03:48PM,Apple to help workers get COVID-19 shots at its offices,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.769,0.231,0.4019
6,AAPL,2021-04-23,03:29PM,Apple IOS 14.5 is bringing big changes to your iPhone  here's what to expect,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,1.0,0.0,0.0
7,AAPL,2021-04-23,03:28PM,Facebooks digital ad revenue just keeps rolling in despite antitrust threat,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.783,0.217,0.4168
8,AAPL,2021-04-23,01:50PM,Apple to Launch Program for Employees to Get Covid-19 Shots,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.0,0.75,0.25,0.4588
9,AAPL,2021-04-23,01:41PM,Biden administration's $50 billion to help end chip shortage 'is a great first step': Intel CEO,10.959999084472656,-1.0,0.0820973714192708,-0.0074906367041198,5.700224015252693,0.7107872231331117,132.16000366210938,135.1199951171875,132.1699981689453,134.32000732421875,75411603,-0.1071883601905161,0.088,0.482,0.43,0.8316
